event-id,visible,timestamp,longitude,latitude,bar:barometric-pressure,behavioural-classification,comments,geolocator-rise,lat-lower,lat-upper,gls:light-level,long-lower,long-upper,twilight-excluded,twilight-inserted,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
16890687739,true,2014-11-04 07:20:26.000,-10.2857142857143,15.3,,"stationary","non-breeding site",,13.95,18.0,,-10.7532467532468,-10.2193548387097,,,"solar-geolocator","Apus melba","12RL","F62372","Switzerland Baden - Long term study on migratory movement of Alpine swifts (Apus melba)"
16890687741,true,2014-11-04 19:34:32.000,-10.2857142857143,15.3,,"stationary","non-breeding site",,13.95,18.0,,-10.7253886010363,-10.2193548387097,,,"solar-geolocator","Apus melba","12RL","F62372","Switzerland Baden - Long term study on migratory movement of Alpine swifts (Apus melba)"
16890687745,true,2014-11-05 07:20:26.000,-10.2857142857143,15.3,,"stationary","non-breeding site",,13.95,18.0,,-10.7532467532468,-10.2193548387097,,,"solar-geolocator","Apus melba","12RL","F62372","Switzerland Baden - Long term study on migratory movement of Alpine swifts (Apus melba)"
16890687746,true,2014-11-05 19:34:33.000,-10.2857142857143,15.3,,"stationary","non-breeding site",,13.95,18.0,,-10.7532467532468,-10.2193548387097,,,"solar-geolocator","Apus melba","12RL","F62372","Switzerland Baden - Long term study on migratory movement of Alpine swifts (Apus melba)"
16890687751,true,2014-11-06 07:15:29.000,-10.2857142857143,15.3,,"stationary","non-breeding site",,13.95,18.0,,-10.7253886010363,-10.2193548387097,,,"solar-geolocator","Apus melba","12RL","F62372","Switzerland Baden - Long term study on migratory movement of Alpine swifts (Apus melba)"
16890687753,true,2014-11-06 19:34:33.000,-10.2857142857143,15.3,,"stationary","non-breeding site",,13.5,17.1,,-10.7253886010363,-10.2193548387097,,,"solar-geolocator","Apus melba","12RL","F62372","Switzerland Baden - Long term study on migratory movement of Alpine swifts (Apus melba)"
16890687757,true,2014-11-07 07:15:29.000,-10.2857142857143,14.85,,"stationary","non-breeding site",,13.5,16.65,,-10.7253886010363,-10.2193548387097,,,"solar-geolocator","Apus melba","12RL","F62372","Switzerland Baden - Long term study on migratory movement of Alpine swifts (Apus melba)"
16890687758,true,2014-11-07 19:34:33.000,-10.2857142857143,14.85,,"stationary","non-breeding site",,13.5,16.65,,-10.7253886010363,-10.2193548387097,,,"solar-geolocator","Apus melba","12RL","F62372","Switzerland Baden - Long term study on migratory movement of Alpine swifts (Apus melba)"
16890687763,true,2014-11-08 07:15:29.000,-10.2857142857143,14.85,,"stationary","non-breeding site",,13.5,16.65,,-10.7253886010363,-10.2193548387097,,,"solar-geolocator","Apus melba","12RL","F62372","Switzerland Baden - Long term study on migratory movement of Alpine swifts (Apus melba)"
16890687764,true,2014-11-08 19:34:35.000,-10.2857142857143,14.85,,"stationary","non-breeding site",,13.5,16.65,,-10.7253886010363,-10.2193548387097,,,"solar-geolocator","Apus melba","12RL","F62372","Switzerland Baden - Long term study on migratory movement of Alpine swifts (Apus melba)"
